id,name,desc_short,desc
1,اللَّه,الله: وهو الإسم الأعظم الذي تفرد به الحق سبحانه وخص به نفسه وجعله أول أسمائه، وأضافها كلها إليه فهو علم على ذاته سبحانه.,"    هو الاسم الذى تفرد به الحق سبحانه وخص به نفسه ،
    وجعله أول أسمائه واضافها كلها اليه ولم يضفه الى إسم منها ، فكل ما يرد بعده يكون نعتا له وصفة ،
    وهو إسم يدل دلالة العلم على الإله الحق وهويدل عليه دلالة جامعة لجميع الأسماء الإلهية الأحادية .
    هذا والاسم (الله) سبحانه مختص بخواص لم توجد فى سائر أسماء الله تعالى .
    الخاصية الأولى : أنه إذا حذفت الألف من قولك (الله)
    بقى الباقى على صورة
    لله وهومختص به سبحانه كما فى قوله
    ( ولله جنود السموات والأرض) .
    وإن حذفت عن البقية اللام الأولى بقيت على صورة (له) كما فى قوله تعالى
    ( له مقاليد السموات والأرض)
    فإن حذفت اللام الباقية كانت البقية هى قولنا (هو)
    وهو أيضا يدل عليه سبحانه كما فى قوله ( قل هو الله أحد )
    والواو ذائدة بدليل سقوطها فى التثنية والجمع ، فإنك تقول : هما ، هم ،
    فلا تبقى الواو فيهما فهذه الخاصية موجودة فى لفظ الله غير موجودة فى سائر الاسماء .
    الخاصية الثانية :
    أن كلمة الشهادة _ وهى الكلمة التى بسببها ينتقل الكافر من الكفر الى الإسلام _ لم يحصل فيها إلا هذا الاسم
    فلو أن الكافر قال : أشهد أن لا اله إلا الرحمن الرحيم ،
    لم يخرج من الكفر ولم يدخل الاسلام ، وذلك يدل على اختصاص هذا الاسم بهذه الخاصية الشريفة"
2,الرَّحْمَنُ,الرحمن: كثير الرحمة وهو اسم مقصور على الله عز وجل ولا يجوز أن يقال رحمن لغير الله، وذلك لأن رحمته وسعت كل شيء وهو أرحم الراحمين.,"الرحمن الرحيم إسمان مشتقان من الرحمة والرحمة فى الأصل رقة فى القلب تستلزم التفضل والإحسان ،
وهذا جائز فى حق العباد ، ولكنه محال فى حق الله سبحانه وتعالى، والرحمة تستدعى مرحوما .
ولا مرحوم إلا محتاج ، والرحمة منطوية على معنين الرقة .
والإحسان ، فركز تعالى فى طباع الناس الرقة وتفرد بالإحسان .
ولا يطلق الرحمن إلا على الله تعالى ، إذ هو الذى وسع كل شىء رحمة ، والرحيم تستعمل فى غيره وهو الذى كثرت رحمته
وقيل أن الله رحمن الدنيا ورحيم الآخرة ، وذلك أن إحسانه فى الدنيا يعم المؤمنين والكافرين ،
ومن الآخرة يختص بالمؤمنين ، اسم الرحمن أخص من اسم الرحيم والرحمن نوعا من الرحمن
وأبعد من مقدور العباد ، فالرحمن هو العطوف على عباده بالإيجاد أولا .
. وبالهداية الى الإيمان وأسباب السعادة ثانيا .
والإسعاد فى الآخرة ثالثا ، والإنعام بالنظر الى وجهه الكريم رابعا .
الرحمن هو المنعم بما لا يتصور صدور جنسه من العباد ،
والرحيم هو المنعم بما يتصور صدور جنسه "
3,الرَّحِيمُ,الرحيم: هو المنعم أبدا، المتفضل دوما، فرحمته لا تنتهي.,"الرحمن الرحيم إسمان مشتقان من الرحمة والرحمة فى الأصل رقة فى القلب تستلزم التفضل والإحسان ،
وهذا جائز فى حق العباد ، ولكنه محال فى حق الله سبحانه وتعالى، والرحمة تستدعى مرحوما .
ولا مرحوم إلا محتاج ، والرحمة منطوية على معنين الرقة .
والإحسان ، فركز تعالى فى طباع الناس الرقة وتفرد بالإحسان .
ولا يطلق الرحمن إلا على الله تعالى ، إذ هو الذى وسع كل شىء رحمة ، والرحيم تستعمل فى غيره وهو الذى كثرت رحمته
وقيل أن الله رحمن الدنيا ورحيم الآخرة ، وذلك أن إحسانه فى الدنيا يعم المؤمنين والكافرين ،
ومن الآخرة يختص بالمؤمنين ، اسم الرحمن أخص من اسم الرحيم والرحمن نوعا من الرحمن
وأبعد من مقدور العباد ، فالرحمن هو العطوف على عباده بالإيجاد أولا .
. وبالهداية الى الإيمان وأسباب السعادة ثانيا .
والإسعاد فى الآخرة ثالثا ، والإنعام بالنظر الى وجهه الكريم رابعا .
الرحمن هو المنعم بما لا يتصور صدور جنسه من العباد ،
والرحيم هو المنعم بما يتصور صدور جنسه "
4,المَلِكُ,الملك: هو الله، ملك الملوك، له الملك، وهو مالك يوم الدين، ومليك الخلق فهو المالك المطلق.,"    الملك هو الظاهر بعز سلطانه ، الغنى بذاته ،
    المتصرف فى أكوانه بصفاته ، وهو المتصرف بالأمر والنهى ،
    أو الملك لكل الأشياء ، الله تعالى الملك المستغنى بذاته وصفاته وأفعاله عن غيرة ،
    المحتاج اليه كل من عداه ، يملك الحياة والموت والبعث والنشور ،
    والملك الحقيقى لا يكون إلا لله وحده ، ومن عرف أن الملك لله وحده أبى أن يذل لمخلوق ،
    وقد يستغنى العبد عن بعض اشياء ولا يستغنى عن بعض الأشياء فيكون له نصيب من الملك ،
    وقد يستغنى عن كل شىء سوى الله ،
    والعبد مملكته الخاصة قلبه .
    وجنده شهوته وغضبه وهواه .
    ورعيته لسانه وعيناه وباقى أعضائه .
    فإذا ملكها ولم تملكه فقد نال درجة الملك فى عالمه ،
    فإن انضم الى ذلك استغناؤه عن كل الناس فتلك رتبة الأنبياء ،
    يليهم العلماء وملكهم بقدر قدرتهم على ارشاد العباد ،
    بهذه الصفات يقرب العبد من الملائكة فى صفاته ويتقرب الى الله"
5,القُدُّوسُ,القدوس: هو الطاهر المنزه عن العيوب والنقائص وعن كل ما تحيط به العقول.,"    تقول اللغة أن القدس هو الطهارة
    والأرض المقدسة هى المطهرة
    والبيت المقدس :الذى يتطهر فيه من الذنوب
    وفى القرآن الكريم على لسان الملائكة وهم يخاطبون الله ( ونحن نسبح بحمدك ونقدس لك ) أى نطهر انفسنا لك
    وجبريل عليه السلام يسمى الروح القدس لطهارته من العيوب فى تبليغ الوحى الى الرسل أو لأنه خلق من الطهارة
    ولا يكفى فى تفسير القدوس بالنسبة الى الله تعالى أن يقال أنه منزه عن العيوب والنقائص فإن ذلك يكاد يقرب من ترك الأدب مع الله
    فهو سبحانه منزه عن أوصاف كمال الناس المحدودة كما أنه منزه عن أوصاف نقصهم
    بل كل صفة نتصورها للخلق هو منزه عنها وعما يشبهها أو يماثلها"
6,السَّلَامُ,السلام: هو ناشر السلام بين الأنام وهو الذي سلمت ذاته من النقص والعيب والفناء.,"    تقول اللغة هو الأمان والاطئنان
    والحصانة والسلامة ومادة السلام تدل على الخلاص والنجاة
    وأن القلب السليم هو الخالص من العيوب
    والسلم (بفتح السين أو كسرها ) هو المسالمة وعدم الحرب
    الله السلام لأنه ناشر السلام بين الأنام
    وهو مانح السلامة فى الدنيا والآخرة
    وهو المنزه ذو السلامة من جميع العيوب والنقائص لكماله فى ذاته وصفاته وأفعاله
    فكل سلامة معزوة اليه صادرة منه
    وهوالذى سلم الخلق من ظلمه
    وهوالمسلم على عباده فى الجنة
    وهو فى رأى بعض العلماء بمعنى القدوس .
    والأسلام هو عنوان دين الله الخاتم وهومشتق من مادة السلام الذى هو اسلام المرء نفسه لخالقه
    وعهد منه أن يكون فى حياته سلما ومسالما لمن يسالمه
    وتحية المسلمين بينهم هى ( السلام عليكم ورحمة الله وبركاته ) والرسول صلى الله عليه ةسلم يكثر من الدعوة الى السلام فيقول
    : السلام من الاسلام..
    افشوا السلام تسلموا ..
    ثلاث من جمعهن فقد جمع الأيمان
    : الأنصاف مع نفسم
    وبذل السلام للعالم والأنفاق من الأقتار ( أى مع الحاجة ) ..
    افشوا السلام بينكم .. اللهم أنت السلام ومنك السلام
    واليك يعود السلام فحينا ربنا بالسلام.
"
7,المُؤْمِنُ,المؤمن: هو الذي سلم أوليائه من عذابه، والذي يصدق عباده ما وعدهم.,"الإيمان فى اللغة هو التصديق ، ويقال آمنه من الأمان ضد الخوف ،
والله يعطى الأمان لمن استجار به واستعان ،
الله المؤمن الذى وحد نفسه بقوله ( شهد الله أنه لا اله إلا هو ) ،
وهو الذى يؤمن أولياءه من عذابه ،
ويؤمن عباده من ظلمه ، هو خالق الطمأنينة فى القلوب ،
أن الله خالق أسباب الخوف وأسباب الأمان جميعا وكونه تعالى مخوفا لا يمنع كونه مؤمنا ،
كما أن كونه مذلا لا يمنع كونه معزا ،
فكذلك هو المؤمن المخوف ، إن إسم ( المؤمن ) قد جاء منسوبا الى الله تبارك وتعالى فى القرآن مرة واحدة فى سورة الحشر فى قوله تعالى ( هو الله الذى لا اله إلا هو الملك القدوس السلام المؤمن المهيمن العزيز الجبار المتكبر سبحان الله عما يشركون )
سورة الحشر"
8,المُهَيْمِنُ,المهيمن: هو الرقيب الحافظ لكل شيء، القائم على خلقه بأعمالهم، وأرزاقهم وآجالهم، المسؤول عنهم بالرعاية والوقاية والصيانة.,"    الهيمنة هى القيام على الشىء والرعاية له
    والمهيمن هو الرقيب أو الشاهد
    والرقيب اسم من أسماء الله تبارك وتعالى معناه الرقيب الحافظ لكل شىء
    المبالغ فى الرقابة والحفظ
    أو المشاهد العالم بجميع الأشياء بالسر والنجوى
    السامع للشكر والشكوى الدافع للضر والبلوى
    وهو الشاهد المطلع على افعال مخلوقاته الذى يشهد الخواطر
    ويعلم السرائر ويبصر الظواهر وهو المشرف على أعمال العباد
    القائم على الوجود بالحفظ والأستيلاء"
9,العَزِيزُ,العزيز: هو المنفرد بالعزة، الظاهر الذي لا يقهر، القوي الممتنع فلا يغلبه شيء وهو غالب كل شيء.,"    العز فى اللغة هو القوة والشدة والغلبة والرفعة و الأمتناع ،
    والتعزيز هو التقوية ،
    والعزيز اسم من أسماء الله الحسنى هو الخطير ،( الذى يقل وجود مثله . وتشتد الحاجة اليه . ويصعب الوصول اليه )
    وإذا لم تجتمع هذه المعانى الثلاث لم يطلق عليه اسم العزيز ،
    كالشمس : لا نظير لها
    والنفع منها عظيم والحاجة شديدة اليها ولكن لا توصف بالعزة لأنه لا يصعب الوصول الي مشاهدتها .
    وفى قوله تعالى
    ( ولله العزة ولرسوله وللمؤمنين ولكن المنافقين لا يعلمون )
    فالعزة هنا لله تحقيقا ، ولرسوله فضلا ،
    وللمؤمنين ببركة إيمانهم برسول الله عليه الصلاة والسلام"
10,الجَبَّارُ,الجبار: هو الذي تنفذ مشيئته، ولا يخرج أحد عن تقديره، وهو القاهر لخلقه على ما أراد.,"    اللغة تقول : الجبر ضد الكسر ، واصلاح الشىء بنوع من القهر ،
    يقال جبر العظم من الكسر ،
    وجبرت الفقير أى أغنيته ،
    كما أن الجبار فى اللغة هو العالى العظيم
    والجبار فى حق الله تعالى هو الذى تنفذ مشيئته على سبيل الإجبار فى كل أحد ،
    ولا تنفذ قيه مشيئة أحد ،
    ويظهر أحكامه قهرا ،
    ولا يخرج أحد عن قبضة تقديره ، وليس ذلك إلا لله ،
    وجاء فى حديث الإمام على ( جبار القلوب على فطرتها شقيها وسعيدها )
    أى أنه أجبر القلوب شقيها وسعيدها على ما فطرها عليه من معرفته ،
    وقد تطلق كلمة الجبار على العبد مدحا له وذلك هو العبد المحبوب لله ،
    الذى يكون جبارا على نفسه
    جبارا على الشيطان ..
    محترسا من العصيان
    والجبار هو المتكبر ، والتكبر فى حق الله وصف محمود ،
    وفى حق العباد وصف مذموم"
